datetime,load_mw,month,year
2024-01-12T09:00:00.000-0500,2014.421,1,2024
2024-01-12T10:00:00.000-0500,1874.075,1,2024
2024-01-12T11:00:00.000-0500,1761.273,1,2024
2024-01-12T12:00:00.000-0500,1689.965,1,2024
2024-01-12T13:00:00.000-0500,1661.319,1,2024
2024-01-12T14:00:00.000-0500,1685.487,1,2024
2024-01-12T15:00:00.000-0500,1747.223,1,2024
2024-01-12T16:00:00.000-0500,1867.41,1,2024
2024-01-12T17:00:00.000-0500,2022.682,1,2024
2024-01-12T18:00:00.000-0500,2126.694,1,2024
2024-01-12T19:00:00.000-0500,2104.633,1,2024
2024-01-12T20:00:00.000-0500,2046.51,1,2024
2024-01-12T21:00:00.000-0500,1979.057,1,2024
2024-01-12T22:00:00.000-0500,1898.378,1,2024
2024-01-12T23:00:00.000-0500,1773.643,1,2024
2024-01-13T00:00:00.000-0500,1668.774,1,2024
2024-01-13T01:00:00.000-0500,1591.531,1,2024
2024-01-13T02:00:00.000-0500,1545.854,1,2024
2024-01-13T03:00:00.000-0500,1515.544,1,2024
2024-01-13T04:00:00.000-0500,1503.403,1,2024
2024-01-13T05:00:00.000-0500,1513.561,1,2024
2024-01-13T06:00:00.000-0500,1552.177,1,2024
2024-01-13T07:00:00.000-0500,1616.152,1,2024
2024-01-13T08:00:00.000-0500,1689.808,1,2024
2024-01-13T09:00:00.000-0500,1784.312,1,2024
2024-01-13T10:00:00.000-0500,1867.393,1,2024
2024-01-13T11:00:00.000-0500,1904.056,1,2024
2024-01-13T12:00:00.000-0500,1889.396,1,2024
2024-01-13T13:00:00.000-0500,1800.756,1,2024
2024-01-13T14:00:00.000-0500,1719.932,1,2024
2024-01-13T15:00:00.000-0500,1770.881,1,2024
2024-01-13T16:00:00.000-0500,1817.872,1,2024
2024-01-13T17:00:00.000-0500,1909.57,1,2024
2024-01-13T18:00:00.000-0500,1995.509,1,2024
2024-01-13T19:00:00.000-0500,1975.64,1,2024
2024-01-13T20:00:00.000-0500,1921.19,1,2024
2024-01-13T21:00:00.000-0500,1873.122,1,2024
2024-01-13T22:00:00.000-0500,1802.487,1,2024
2024-01-13T23:00:00.000-0500,1726.476,1,2024
2024-01-14T00:00:00.000-0500,1636.752,1,2024
2024-01-14T01:00:00.000-0500,1575.322,1,2024
2024-01-14T02:00:00.000-0500,1535.646,1,2024
2024-01-14T03:00:00.000-0500,1509.627,1,2024
2024-01-14T04:00:00.000-0500,1501.663,1,2024
2024-01-14T05:00:00.000-0500,1523.024,1,2024
2024-01-14T06:00:00.000-0500,1563.995,1,2024
2024-01-14T07:00:00.000-0500,1640.257,1,2024
2024-01-14T08:00:00.000-0500,1713.173,1,2024
2024-01-14T09:00:00.000-0500,1731.507,1,2024
2024-01-14T10:00:00.000-0500,1681.96,1,2024
